area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Lancy R,141,Gravel,1240,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,97,No Access,1535,3.0,1.0,78.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,194,Paved,1180,2.0,2.0,75.0
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,,1,Gravel,2200,6.0,2.0,68.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,94,Paved,1400,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,,38,Gravel,500,1.0,1.0,25.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Pronege,171,Paved,4800,4.0,3.0,525.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,99,Gravel,1984,4.0,1.0,146.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,VDe 1Du,66,Gravel,3000,5.0,3.0,250.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,BrlisMe,59,No Access,1960,3.0,3.0,160.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,161,Paved,1035,2.0,1.0,45.0
Built-up  Area,Ready To Move,Vibuthipura,4 Bedroom,,103,Gravel,2150,4.0,1.0,80.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,Mithmn ,106,No Access,1700,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,102,Gravel,3024,5.0,1.0,248.0
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,67,No Access,1586,3.0,1.0,100.0
Built-up  Area,18-May,Hennur,3 Bedroom,Asoilul,176,No Access,2264,,,155.0
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,60,No Access,2325,4.0,1.0,120.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,60,Paved,1120,2.0,2.0,55.0
Super built-up  Area,18-Jun,Yelahanka,3 BHK,Shalkri,166,Gravel,1440 - 1884,,,67.98
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,CharkGr,24,No Access,1128,2.0,2.0,59.0
Plot  Area,Ready To Move,5th Block Hbr Layout,6 Bedroom,,124,Paved,1200,6.0,2.0,250.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,128,No Access,924,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,75,Gravel,1600,3.0,2.0,52.0
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,81,Paved,1006,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Srncy R,50,No Access,1200,2.0,2.0,55.0
Super built-up  Area,20-Dec,Jalahalli West,2 BHK,,163,Gravel,1250,2.0,1.0,62.0
Plot  Area,Ready To Move,Defence Layout,3 Bedroom,,134,Paved,1200,3.0,1.0,130.0
Built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,37,Gravel,957,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,185,No Access,1140,2.0,2.0,41.0
Super built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,RortsCo,66,No Access,1050,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,126,Paved,1565,3.0,2.0,88.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GClmsun,199,No Access,1190,2.0,3.0,57.0
Built-up  Area,18-Jan,Whitefield,3 Bedroom,,33,Paved,2842,3.0,2.0,162.0
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,78,Gravel,1558.67,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,,172,Gravel,630,1.0,1.0,39.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Iseenst,163,Paved,1403,2.0,2.0,60.81
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SLourle,193,Gravel,1542,2.0,3.0,85.0
Built-up  Area,Ready To Move,Haralur Road,4 Bedroom,IDlleri,27,Gravel,2750,4.0,0.0,220.0
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,148,Gravel,3596,5.0,1.0,290.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,,80,Paved,1635,2.0,,78.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,79,No Access,1239,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,198,Gravel,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,100,Paved,1596,3.0,1.0,105.0
Super built-up  Area,17-Nov,Channasandra,2 BHK,Unm 2El,96,Gravel,1009,2.0,1.0,38.34
Super built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,28,No Access,1726,3.0,2.0,81.99
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,84,Paved,1535,3.0,2.0,86.0
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,39,Gravel,1300,2.0,1.0,58.5
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,171,No Access,3100,4.0,2.0,465.0
Super built-up  Area,Ready To Move,Coconut Garden,3 BHK,,164,No Access,1800,3.0,3.0,80.0
Super built-up  Area,19-Dec,Binny Pete,1 BHK,Shestlo,54,Paved,665,1.0,0.0,50.75
Plot  Area,Ready To Move,Chamrajpet,9 Bedroom,,100,Paved,4050,7.0,1.0,1200.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,87,Paved,1500,2.0,1.0,100.0
Built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,7,No Access,925,2.0,2.0,48.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,45,Gravel,3356,4.0,,251.0
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,ArzzaRe,176,Gravel,1395,2.0,1.0,63.59
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,101,Gravel,1415,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Begur,3 BHK,Arera V,190,Paved,1419,2.0,2.0,59.0
Super built-up  Area,18-Feb,Kasavanhalli,2 BHK,Brersge,6,Paved,1121,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,,190,Paved,1082,2.0,1.0,45.0
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,134,Paved,1100,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Keers S,133,No Access,1606,3.0,3.0,89.55
Built-up  Area,Ready To Move,Billekahalli,3 BHK,,175,Paved,1650,3.0,2.0,88.0
Super built-up  Area,Ready To Move,D Souza Layout,3 BHK,Niateki,73,Paved,4634,4.0,3.0,1015.0
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Vadel C,92,No Access,1206,2.0,3.0,75.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,HIideSu,171,Paved,1495,2.0,0.0,64.0
Plot  Area,Ready To Move,Malleshwaram,8 Bedroom,,151,Gravel,840,7.0,2.0,195.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,134,Gravel,710,2.0,2.0,16.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,,35,Paved,1210,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,182,Paved,1523,2.0,2.0,53.4
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Krine C,51,Paved,1232,2.0,2.0,45.0
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,35,Paved,680,1.0,1.0,44.0
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,45,No Access,1355,3.0,1.0,83.87
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,50,Paved,1430,2.0,2.0,51.46
Super built-up  Area,18-Jun,Kothannur,3 BHK,,11,Gravel,1275,2.0,2.0,43.85
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,162,Paved,1070,2.0,1.0,56.1
Plot  Area,Ready To Move,Bettahalsoor,3 Bedroom,,36,Gravel,1200,3.0,1.0,85.0
Plot  Area,Ready To Move,Electronic City,4 Bedroom,,62,Paved,2000,4.0,0.0,120.0
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,,22,Paved,1200,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,SatatHa,35,Gravel,1610,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,134,Paved,1140,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,188,Gravel,1143,2.0,2.0,38.65
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,192,Paved,3467.86,6.0,3.0,249.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,128,Gravel,1530,2.0,2.0,74.4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,4,Paved,980,2.0,2.0,69.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,ChodsGr,197,Gravel,1485,3.0,2.0,65.0
Plot  Area,18-May,Whitefield,3 Bedroom,WoarkEm,83,Gravel,1500,3.0,1.0,130.0
Super built-up  Area,18-Oct,Whitefield,2 BHK,Umods W,101,Paved,1280,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,74,No Access,1265,2.0,2.0,85.0
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",2 BHK,,115,Gravel,1132,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,SJcerpe,120,No Access,1262,2.0,2.0,63.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maentor,46,No Access,940,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,,147,No Access,1515,3.0,3.0,88.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,80,Gravel,1300,3.0,3.0,150.0
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,,89,Gravel,1840,3.0,1.0,69.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,67,Paved,890,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Rukmaiah Layout,3 BHK,,46,Gravel,1655,3.0,2.0,86.06
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,196,Paved,2060,3.0,1.0,149.0
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,SNeur G,184,No Access,1730,3.0,1.0,96.0
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Leilo E,118,Paved,2195,4.0,2.0,127.0
Super built-up  Area,18-Mar,Kathriguppe,3 BHK,,16,Gravel,1650,3.0,2.0,125.0
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,80,Paved,1200,2.0,0.0,71.0
Super built-up  Area,18-May,Hosa Road,2 BHK,,80,Paved,1079,2.0,1.0,32.37
Super built-up  Area,19-Oct,Panathur,2 BHK,Caiya D,10,No Access,1085,2.0,1.0,36.0
Built-up  Area,Ready To Move,Maruthi Sevanagar,7 Bedroom,,5,Gravel,5000,7.0,,299.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,68,No Access,1075,2.0,1.0,51.5
Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,,199,Gravel,1380,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Puttanahalli,3 BHK,,20,Gravel,1450,3.0,1.0,65.0
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,,52,Gravel,1200,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Benson Town,3 BHK,,139,Paved,3200,4.0,,350.0
Super built-up  Area,21-Jul,Hoodi,3 BHK,GoAirej,49,Paved,1639,3.0,1.0,98.32
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,64,No Access,1200,2.0,1.0,54.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,86,Gravel,1739,3.0,1.0,116.0
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,106,Paved,4346,5.0,,500.0
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,Shmes O,187,No Access,935,2.0,1.0,32.72
Super built-up  Area,21-Nov, Thanisandra,1 RK,Bhe 2ko,36,No Access,510,1.0,1.0,25.25
Plot  Area,Ready To Move,Devasandra Extension,6 Bedroom,,183,Gravel,1200,6.0,3.0,180.0
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,PrestSe,74,Paved,1178,2.0,3.0,47.0
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Siourpl,63,Gravel,1375,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Halms S,170,Gravel,1065,2.0,1.0,33.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,132,Paved,1450,2.0,1.0,50.75
Built-up  Area,Ready To Move,BEML Layout,2 BHK,,191,Gravel,999,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,176,Paved,4400,3.0,2.0,475.0
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,,180,Gravel,1350,4.0,1.0,135.0
Built-up  Area,Ready To Move,Kothannur,2 BHK,,52,Gravel,1100,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Wiass G,44,Paved,1835,2.0,3.0,155.0
Super built-up  Area,20-Dec,Hoodi,4 BHK,Caycend,130,Gravel,2090,4.0,0.0,95.1
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,141,Paved,1519,3.0,1.0,93.0
Built-up  Area,Ready To Move,Dommasandra,3 BHK,Asene S,79,No Access,1267,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Camesa ,178,Gravel,1150,2.0,3.0,72.2
Super built-up  Area,19-Dec,Marathahalli,2 BHK,PrensKe,168,Gravel,1146,2.0,1.0,70.0
Plot  Area,18-Feb,1st Block HRBR Layout,8 Bedroom,,132,No Access,1200,7.0,0.0,235.0
Built-up  Area,Ready To Move,Kannamangala,3 BHK,Marnaer,5,No Access,1550,3.0,3.0,65.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,32,Gravel,850,1.0,1.0,18.5
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Kaestid,69,Paved,2200,3.0,,187.0
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 Bedroom,,62,Paved,3329,3.0,2.0,330.0
Carpet  Area,Ready To Move,Electronics City Phase 1,1 BHK,,17,Paved,785,1.0,1.0,55.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,46,Paved,2900,4.0,,300.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Avlya A,157,Gravel,1610,3.0,2.0,74.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,144,Gravel,921,2.0,2.0,40.0
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,,123,No Access,850,3.0,2.0,95.0
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,22,Paved,2700,5.0,0.0,158.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SocusHi,138,Gravel,1700,3.0,3.0,110.0
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,126,Paved,1020,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Dintsmi,54,Paved,1090,2.0,3.0,52.0
Plot  Area,Ready To Move,Bagalur Main Road,4 Bedroom,,102,Paved,3600,4.0,,300.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,187,Gravel,1027,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,19,No Access,1185,2.0,2.0,42.1
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Prianhi,58,Paved,850,2.0,1.0,25.0
Built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,34,Gravel,1197,2.0,1.0,84.0
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,4,Paved,3500,3.0,3.0,450.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,,200,Gravel,920,2.0,2.0,39.55
Super built-up  Area,Ready To Move,Chamrajpet,9 BHK,,30,Gravel,716Sq. Meter,9.0,1.0,296.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,i1rtsCo,5,Paved,1105,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,GoandAc,7,Gravel,1850,3.0,3.0,100.0
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,PrarePa,159,Paved,1300,3.0,1.0,64.0
Built-up  Area,Ready To Move,"Varthur Road, ",3 BHK,,72,Paved,1595,3.0,2.0,76.0
Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,158,No Access,3073,5.0,2.0,696.0
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,133,Gravel,755,2.0,1.0,37.49
Built-up  Area,Ready To Move,Nagasandra,5 Bedroom,,17,Gravel,4050,5.0,2.0,140.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,,107,Gravel,1300,2.0,3.0,69.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,178,Paved,1215,2.0,0.0,50.0
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,PrarePa,78,Gravel,900,2.0,1.0,46.0
Super built-up  Area,18-Oct,Banashankari Stage III,2 BHK,,155,Paved,1145,2.0,3.0,58.4
Super built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,,5,Paved,1093,2.0,2.0,65.0
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,,26,Gravel,1213,2.0,2.0,41.39
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,PrliaRe,101,Paved,1654,3.0,2.0,100.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,156,No Access,1105,2.0,1.0,52.48
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,33,Gravel,1611,2.0,2.0,66.0
Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,Hoens T,112,No Access,1367,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brntsal,75,No Access,1010,2.0,1.0,51.0
Plot  Area,Ready To Move,Kavika Layout,3 Bedroom,,181,No Access,750,2.0,1.0,75.0
Carpet  Area,Ready To Move,Vinayaka Nagar,3 BHK,SVon hn,35,Paved,1535,3.0,1.0,95.0
Super built-up  Area,Ready To Move,Anekal,2 BHK,,21,No Access,620,2.0,1.0,22.0
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,70,Paved,982,2.0,1.0,47.65
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,,59,No Access,1700,2.0,2.0,150.0
Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,51,No Access,1330,2.0,1.0,71.0
Built-up  Area,Ready To Move,JP Nagar,3 Bedroom,Ronty C,29,No Access,2500,3.0,2.0,135.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,171,No Access,1475,2.0,2.0,58.99
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,BSisear,87,No Access,1410,3.0,1.0,65.0
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,,8,Gravel,440,1.0,1.0,16.5
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,126,Gravel,1614,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,GeereEc,103,No Access,1363,2.0,2.0,68.0
Built-up  Area,Ready To Move,Kogilu,2 Bedroom,,11,Paved,650,2.0,0.0,28.0
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,,27,Gravel,1015,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,21,No Access,1156,2.0,2.0,46.0
Super built-up  Area,19-Mar,Hennur Busstop,2 BHK,,167,Gravel,1100,2.0,1.0,62.7
Super built-up  Area,18-Jan,KR Puram,3 BHK,,52,Gravel,1455,3.0,2.0,46.0
Super built-up  Area,Ready To Move,GB Palya,2 BHK,Ravashw,80,Paved,930,2.0,1.0,45.0
Built-up  Area,Ready To Move,AMS Layout,3 BHK,,152,No Access,1650,2.0,2.0,80.0
Built-up  Area,Ready To Move,KR Puram,2 Bedroom,,56,Paved,1200,2.0,0.0,90.0
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,,153,Paved,700,1.0,0.0,150.0
Super built-up  Area,Ready To Move,Karuna Nagar,4 BHK,AjityIn,163,No Access,2900,3.0,,135.0
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,192,Paved,1890,4.0,3.0,127.0
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Vaour S,17,Gravel,2197,4.0,3.0,280.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,184,Gravel,3522,3.0,2.0,380.0
Super built-up  Area,18-Apr,Gaurava Nagar,3 BHK,,98,Paved,1240,2.0,2.0,46.0
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1,Gravel,1440,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,,86,No Access,650,1.0,2.0,38.0
Super built-up  Area,19-Jun,Budigere,1 BHK,Brstaue,10,No Access,764,1.0,1.0,32.0
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,,60,Gravel,900,4.0,0.0,90.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,125,Gravel,1693,3.0,3.0,57.39
Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr ,37,Gravel,1445,3.0,2.0,65.0
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,5,Gravel,900,1.0,0.0,45.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,,138,Paved,1030,2.0,,55.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,72,No Access,1381,2.0,2.0,52.48
Built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,82,No Access,1100,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,,108,Gravel,1575,3.0,2.0,66.39
Plot  Area,Ready To Move,Thigalarapalya,2 Bedroom,,160,Gravel,1200,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,105,Paved,1200,2.0,2.0,43.2
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,GradeMR,111,Gravel,1080,2.0,2.0,80.0
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,,139,Paved,2280,5.0,,200.0
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,,33,Paved,1360,2.0,2.0,85.0
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,34,Gravel,1865,3.0,1.0,124.0
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,188,No Access,1157,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Icingpy,97,No Access,674,2.0,1.0,29.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,AdndeBe,7,Paved,1405,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,46,Paved,1160,2.0,2.0,44.08
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,,120,Gravel,1600,3.0,1.0,172.0
Super built-up  Area,21-Mar,Hebbal,3 BHK,Oztarol,152,Paved,1790,3.0,2.0,127.0
Super built-up  Area,18-May,Electronic City,2 BHK,Prarkun,18,No Access,1128,2.0,1.0,65.65
Super built-up  Area,Ready To Move,Panathur,2 BHK,Arentpa,7,No Access,1180,2.0,1.0,70.0
Built-up  Area,Ready To Move,AGS Layout,3 BHK,,63,No Access,1450,2.0,2.0,85.0
Built-up  Area,18-Mar,Kengeri,1 BHK,,194,Gravel,340,1.0,1.0,10.0
Built-up  Area,Ready To Move,Srinagar,4 Bedroom,,199,Paved,2000,3.0,1.0,166.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,166,Gravel,1050,2.0,2.0,53.5
Super built-up  Area,Ready To Move,Varthur,2 BHK,Pethaai,156,Paved,1125,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,181,Paved,1246,2.0,1.0,68.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,151,Gravel,1372,2.0,1.0,61.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,3,No Access,1330,2.0,1.0,56.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,63,Paved,2465,5.0,2.0,234.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,,158,Paved,1300,2.0,3.0,55.0
Plot  Area,Ready To Move,Brigade Road,2 Bedroom,,15,Gravel,1420,1.0,0.0,220.0
Plot  Area,Ready To Move,Bannerghatta,4 Bedroom,,73,No Access,810,4.0,1.0,50.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,89,Paved,1065,2.0,1.0,35.0
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,,150,Gravel,700,2.0,0.0,27.0
Carpet  Area,18-Mar,Hebbal,2 BHK,Arcia S,76,Paved,547.34 - 827.31,2.0,0.0,42.72
Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,72,No Access,1050,2.0,1.0,45.0
Super built-up  Area,18-Apr,Maruthi HBCS Layout,3 BHK,,29,Paved,1250,3.0,3.0,39.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,151,Paved,865,2.0,0.0,42.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,97,No Access,1200,2.0,2.0,44.0
Built-up  Area,Ready To Move,Srirampura,3 BHK,NRnoral,70,No Access,1756,3.0,3.0,100.0
Plot  Area,Ready To Move,Malleshwaram,9 Bedroom,,31,No Access,750,8.0,,150.0
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,Ardanru,142,Paved,628,1.0,1.0,24.0
Plot  Area,Ready To Move,9th Phase JP Nagar,7 Bedroom,,152,Paved,1200,6.0,2.0,195.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,156,Gravel,1207,2.0,2.0,63.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,KlarkBe,9,Gravel,1765,3.0,1.0,125.0
Built-up  Area,18-Dec,Electronic City,2 BHK,,102,Gravel,1130,2.0,1.0,32.64
Super built-up  Area,18-Jun,Devanahalli Road,3 BHK,Ozana U,90,Gravel,1532,3.0,3.0,92.0
Built-up  Area,Ready To Move,Ejipura,3 BHK,DSncele,89,Paved,1650,3.0,0.0,110.0
Built-up  Area,18-May,Horamavu Banaswadi,4 Bedroom,,34,Paved,1200,4.0,2.0,105.0
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,Rosha I,200,Paved,804.1,2.0,1.0,69.09
Super built-up  Area,18-Apr,Doddathoguru,2 BHK,,138,Gravel,1200,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,97,Gravel,1197,2.0,2.0,50.0
